Average_Annual_Salary,Jobs_Openings,Future_Jobs_Openings,Remote_jobs,Job_Automation_Risk
132765.8173,2661.913845,7738.246377,58.64182772,53.6896
95964.95157,9874.229809,-710.691728,33.03833465,46.9004
108850.8304,4832.616502,8374.008305,22.42362158,49.2622
91959.5128,8105.311846,3611.026858,43.40042449,54.7329
39892.72663,3570.443047,2013.048226,19.31199835,45.9295
87665.80178,6628.196228,2485.070286,25.66956135,48.7873
130475.2511,9124.997034,7304.887592,34.85069209,50.2153
67150.12049,1677.781516,7947.382242,53.0047216,43.7049
108187.7233,6598.932365,8474.541518,75.90107254,43.8025
89610.85817,841.5153273,7104.769154,53.1996965,48.1285
71965.09001,5449.339051,1728.42083,110.7776191,34.1106
83980.18337,7841.198846,4609.799489,48.81309109,38.9729
72284.86159,5684.903008,3126.091915,53.51041133,38.654
92885.31602,5957.318704,7284.449168,33.35040447,50.4394
80568.59262,8578.434664,2112.775363,28.36624141,46.806
112504.1455,4632.810504,10320.04745,57.62395944,49.4741
25706.90901,6788.420708,3729.771613,64.92388348,43.0571
44712.99201,3684.528549,5226.591794,80.9016846,60.3537
43697.62817,3177.388395,525.9863807,24.63417757,43.1558
75839.53223,9665.278692,9843.985554,5.5197475,39.1938
124529.7306,2396.210565,8015.349323,50.12164619,48.4572
98397.14542,4495.098683,-1042.326201,32.43346125,37.1557
74260.6192,6749.928799,9860.735283,-13.33090931,47.9889
119541.5162,6252.113577,883.3170445,52.69059792,45.11
8480.586357,5422.378938,1358.389099,42.27256625,41.2728
86470.15115,2557.271283,4804.553768,17.3803263,55.3371
101122.4687,192.4866478,6301.319497,65.76979825,53.2654
129401.5665,1972.704615,-2568.566337,96.89650565,49.2083
111174.523,6700.255131,9909.267535,104.0009123,47.0742
51878.31036,1716.814957,8138.68171,53.71851888,37.8762
98959.71231,4822.098586,5977.545148,100.9054894,37.3873
132307.4203,4115.415311,1514.916004,84.62252869,48.0351
84950.83009,7324.632269,3545.609245,33.67420708,50.7622
109463.0667,5395.307013,1852.045226,45.98141204,40.1885
107936.1192,5356.543888,3353.653755,17.58021901,34.1558
95029.87313,7199.757392,8224.384883,34.55157662,43.1802
76114.45149,4184.828069,3441.868055,3.477786694,47.1527
172106.2182,1612.420205,209.7521515,51.67759579,48.2708
35568.98388,7799.71311,9075.288003,30.72577372,41.7224
77409.36731,2905.832066,6397.7154,83.07245382,55.8245
135456.0397,2931.48882,8434.208003,22.14820413,42.4809
147273.97,9225.902603,2900.093181,71.00242664,54.6157
67750.65434,5779.575953,7655.948514,48.08551605,49.5834
67234.07477,2020.841088,7868.058038,48.29971343,46.1906
87117.32501,3154.660354,6273.744731,39.2084487,59.8957
97307.47894,5789.848716,1260.07443,42.64273554,51.889
63032.00497,4826.950697,7198.058128,32.21503488,40.8479
115097.9721,2100.180314,8375.929844,25.85438231,51.7263
116429.9185,9460.917648,10758.98129,102.6043933,42.6251
84729.87669,6022.490497,8560.884988,29.7432844,40.5339
104829.0057,2851.956027,5884.540575,55.03067144,42.0527
94177.34198,6609.628322,2571.243617,74.43078299,57.195
57303.60705,4906.607102,1393.003359,12.13180938,42.3614
95988.17407,879.3384026,2419.683155,22.05948177,54.2334
108574.2636,7155.041745,8069.559015,70.07514751,49.0988
79989.18821,4604.501917,3114.210828,6.664984792,45.597
58037.61983,8181.432753,4223.471714,66.45900288,38.9742
78088.64287,8867.25428,8461.286301,21.19596692,46.0478
72751.93436,7519.910653,7598.005886,44.66592234,41.0776
60921.25045,7505.488794,2412.134402,47.46310883,34.6009
31816.54421,4430.099729,6076.247072,5.997421222,50.9087
18262.15901,2520.920634,2479.384035,84.78290873,55.4868
69559.71683,7458.859083,3677.275522,94.75857138,36.4106
123717.6959,2953.436751,4334.306313,23.14057796,46.9082
71417.54213,5529.477844,4005.535631,75.81881042,43.8634
105398.1868,1940.365133,5089.972157,25.35168959,48.994
42346.1795,5911.509941,3081.175263,68.46399766,48.8324
37712.89972,398.9715678,8160.793175,57.83815859,56.0269
110776.4465,8012.850098,3459.869265,35.97986373,49.1167
80514.46404,2463.201963,7595.555019,53.45514728,61.379
18072.84601,7639.554578,4769.884213,89.82855626,43.4079
107189.6265,9434.571973,1064.054814,71.65744157,45.4095
13375.42688,6447.100101,7848.303675,34.89881747,54.8842
166230.8834,4602.129936,5679.158334,52.96737722,63.7872
29625.60515,3630.960152,6109.466148,70.79112272,54.0718
120454.7961,3036.053592,9367.514276,69.0345729,52.2506
1269.837715,2531.167419,5581.223555,56.81047404,62.4328
76341.56539,8667.873791,9594.279398,62.53389025,53.5502
133798.4261,8263.625308,392.4909926,15.33906416,54.4735
88371.96613,1760.651295,1078.899814,41.8721557,52.6738
68008.1726,7199.641821,6742.751108,60.96328065,41.1563
123435.908,3444.680392,4730.90192,72.21661349,48.288
169098.7848,4911.30153,4887.333353,81.68509564,43.33
66311.15971,5557.483348,2674.782915,38.72263965,36.1281
65705.72303,6783.722483,-996.7493617,27.36221625,40.8105
37616.69692,4269.006121,10908.34612,40.2898945,49.0366
55367.31972,4155.130945,4208.729492,100.7032927,45.4242
47856.41948,1295.775531,3503.563615,45.43695856,46.3014
38812.44887,8175.483872,9423.545127,70.16448505,42.5471
85715.87204,5003.732021,633.7965874,62.45931541,49.5106
105451.9713,7516.563417,7793.706707,68.31335913,48.9465
