uid,item_id
131076,25349
131076,55857
131076,20875
131076,145569
131078,25349
131078,55857
131078,20875
131078,145569
262153,25349
262153,55857
262153,20875
262153,145569
11,25349
11,55857
11,20875
11,145569
131084,25349
131084,55857
131084,20875
131084,145569
131087,25349
131087,55857
131087,20875
131087,145569
15,25349
15,55857
15,20875
15,145569
262160,25349
262160,55857
262160,20875
262160,145569
18,25349
18,55857
18,20875
18,145569
131090,25349
131090,55857
131090,20875
131090,145569
22,25349
22,55857
22,20875
22,145569
131094,25349
131094,55857
131094,20875
131094,145569
262168,25349
262168,55857
262168,20875
262168,145569
131098,25349
131098,55857
131098,20875
131098,145569
27,25349
27,55857
27,20875
27,145569
262176,25349
262176,55857
262176,20875
262176,145569
131106,25349
131106,55857
131106,20875
131106,145569
131107,25349
131107,55857
131107,20875
131107,145569
262183,25349
262183,55857
262183,20875
262183,145569
262185,25349
262185,55857
262185,20875
262185,145569
131119,25349
131119,55857
131119,20875
131119,145569
48,25349
48,55857
48,20875
48,145569
262192,25349
262192,55857
262192,20875
262192,145569
262193,25349
262193,55857
262193,20875
262193,145569
262195,25349
262195,55857
262195,20875
262195,145569
131120,25349
131120,55857
131120,20875
131120,145569
50,25349
50,55857
50,20875
50,145569
131126,25349
131126,55857
131126,20875
131126,145569
56,25349
56,55857
56,20875
56,145569
131129,25349
131129,55857
131129,20875
131129,145569
262204,25349
262204,55857
262204,20875
262204,145569
131138,25349
131138,55857
131138,20875
131138,145569
71,25349
71,55857
71,20875
71,145569
262221,25349
262221,55857
262221,20875
262221,145569
78,25349
78,55857
78,20875
78,145569
79,25349
79,55857
79,20875
79,145569
262225,25349
262225,55857
262225,20875
262225,145569
262227,25349
262227,55857
262227,20875
262227,145569
85,25349
85,55857
85,20875
85,145569
131157,25349
131157,55857
131157,20875
131157,145569
88,25349
88,55857
88,20875
88,145569
131166,25349
131166,55857
131166,20875
131166,145569
262239,25349
262239,55857
262239,20875
262239,145569
262244,25349
262244,55857
262244,20875
262244,145569
131174,25349
131174,55857
131174,20875
131174,145569
262248,25349
262248,55857
262248,20875
262248,145569
131179,25349
131179,55857
131179,20875
131179,145569
131183,25349
131183,55857
131183,20875
131183,145569
262257,25349
262257,55857
262257,20875
262257,145569
262258,25349
262258,55857
262258,20875
262258,145569
131187,25349
131187,55857
131187,20875
131187,145569
131193,25349
131193,55857
131193,20875
131193,145569
131196,25349
131196,55857
131196,20875
131196,145569
262271,25349
262271,55857
262271,20875
262271,145569
131,25349
131,55857
131,20875
131,145569
135,25349
135,55857
135,20875
135,145569
262281,25349
262281,55857
262281,20875
262281,145569
262282,25349
262282,55857
262282,20875
262282,145569
131210,25349
131210,55857
131210,20875
131210,145569
137,25349
137,55857
137,20875
137,145569
262286,25349
262286,55857
262286,20875
262286,145569
262289,25349
262289,55857
262289,20875
262289,145569
131218,25349
131218,55857
131218,20875
131218,145569
145,25349
145,55857
145,20875
145,145569
131223,25349
131223,55857
131223,20875
131223,145569
262300,25349
262300,55857
262300,20875
262300,145569
160,25349
160,55857
160,20875
160,145569
131233,25349
131233,55857
131233,20875
131233,145569
131234,25349
131234,55857
131234,20875
131234,145569
131238,25349
131238,55857
131238,20875
131238,145569
131243,25349
131243,55857
131243,20875
131243,145569
262315,25349
262315,55857
262315,20875
262315,145569
262321,25349
262321,55857
262321,20875
262321,145569
182,25349
182,55857
182,20875
182,145569
183,25349
183,55857
183,20875
183,145569
262328,25349
262328,55857
262328,20875
262328,145569
187,25349
187,55857
187,20875
187,145569
131261,25349
131261,55857
131261,20875
131261,145569
189,25349
189,55857
189,20875
189,145569
194,25349
194,55857
194,20875
194,145569
195,25349
195,55857
195,20875
195,145569
131270,25349
131270,55857
131270,20875
131270,145569
131271,25349
131271,55857
131271,20875
131271,145569
262347,25349
262347,55857
262347,20875
262347,145569
