polar_area,amino_acid_count,isoelectric_point,avg_hydrophobicity,binding_volume,hydrophobic_charge_interaction,protein_mass
104.666451,1428,7.367834,0.638777,13.54555,13.588728,497.304337
105.78341,247,5.76544,0.746038,13.832919,13.458571,364.149915
19.107668,341,6.867458,0.68506,13.629232,54.659498,357.214071
68.607075,1096,6.139103,0.724686,21.112143,32.512002,517.509928
11.55923,1335,6.806646,0.650576,13.082929,18.815388,805.058707
107.040578,787,8.562886,0.814081,10.853019,5.468826,339.992888
33.179962,1253,5.764957,0.621988,12.664772,20.048622,330.546609
69.622146,810,5.812431,0.629458,16.046133,31.610714,601.026109
81.307639,1068,5.306458,0.62226,15.355502,36.738606,556.188751
34.024449,1188,6.328199,0.702844,7.162738,30.816007,568.415152
82.605097,677,7.859706,0.657614,9.095987,19.304997,367.715077
73.800529,707,6.001464,0.608616,9.933233,23.408982,561.958761
101.57528,211,8.063882,0.687025,12.84909,11.767668,284.132834
60.465826,975,7.150094,0.554094,11.015655,21.919833,585.499319
64.873828,1316,5.362809,0.589468,14.973229,7.445347,637.045692
71.957806,1132,7.079783,0.63141,13.649004,27.984823,519.320019
26.198746,272,7.587781,0.746714,16.84641,16.832039,400.88175
113.243688,1255,4.592815,0.722578,18.757468,28.754252,508.727964
119.063403,1265,7.814414,0.705729,16.057479,3.721209,490.963052
90.161453,993,6.848264,0.577579,18.019091,28.063403,615.746475
98.457714,355,4.958455,0.600265,18.792397,-0.068577,459.941168
74.629309,1014,4.014861,0.67859,16.611798,34.725816,489.624024
104.198919,1423,8.150788,0.763896,17.445626,42.163051,564.5891
93.444063,572,4.593604,0.502046,14.602073,37.758978,293.601678
31.891293,339,7.014465,0.467726,12.864305,24.090923,443.099862
80.775815,1097,6.130652,0.828124,13.591593,22.364454,443.990849
62.39692,848,5.883555,0.686589,17.119672,14.812862,517.064038
95.025197,870,4.994801,0.641886,13.982226,28.331889,543.584046
73.408127,311,4.128705,0.561223,13.479817,19.095581,497.984432
85.829138,215,4.240527,0.697458,11.952582,37.989025,303.221417
77.687139,238,6.458523,0.652693,11.116594,34.24441,280.405567
86.750865,366,6.191915,0.720328,14.743689,27.195596,408.748265
63.134846,1189,7.853925,0.555685,10.060981,27.197582,667.379836
84.636915,422,4.73373,0.711819,15.430024,20.521769,286.205629
55.401708,1388,9.921136,0.747076,18.259598,25.922222,485.167404
94.837613,1488,6.853491,0.825651,15.220062,24.166854,580.415126
118.54,608,6.038329,0.52603,12.87577,39.537698,443.533363
40.101351,255,6.016404,0.692698,19.037644,17.271605,268.915576
78.10752,1395,3.69728,0.591396,16.09159,36.683727,623.570006
96.36287,1486,7.335942,0.492176,16.574564,28.894409,523.431247
108.546635,849,7.654862,0.654983,16.409982,16.562135,570.098348
82.264136,1079,6.502222,0.675407,18.135878,26.137159,470.854023
52.976418,532,5.445517,0.673289,14.208368,11.112241,382.459117
48.571572,1392,5.486952,0.735608,19.719113,13.269726,600.252434
10.25652,624,7.427938,0.603091,19.891715,15.593351,356.853873
56.585208,440,6.423453,0.493704,16.873195,15.938134,333.749804
69.6778,1261,6.579649,0.611651,21.769275,26.178085,439.688821
56.685346,623,5.233975,0.506797,15.310859,38.87685,383.016882
100.339117,403,5.950857,0.607822,10.513797,14.553634,352.093899
61.603078,693,4.676208,0.700611,13.808055,8.684424,423.968691
54.410751,302,7.580228,0.721851,22.973751,42.949136,325.013927
109.173287,232,6.481279,0.645045,20.099987,7.557972,262.431425
88.712694,440,3.341655,0.589741,15.866687,28.619422,312.341436
122.092257,930,8.475224,0.551258,13.367812,37.254765,498.908127
71.55145,1278,6.48408,0.707678,12.493732,11.724666,395.898559
106.180777,1077,6.001213,0.739074,11.327544,38.434452,446.826503
85.06427,1399,7.346745,0.669966,16.572516,29.658332,463.809618
94.783415,1384,6.462276,0.67263,14.934636,36.45178,454.207195
57.902509,1433,6.16338,0.633526,16.122325,10.07979,527.233318
61.645513,851,7.972848,0.715702,11.413795,24.284736,313.821159
103.182555,261,5.756838,0.659054,20.131659,22.496532,295.49291
88.598877,509,5.272562,0.743381,19.818251,2.973391,350.586001
30.41169,251,6.16372,0.605387,14.734432,33.348898,384.937136
71.995889,495,7.317839,0.807422,8.888512,23.107052,534.874087
57.922049,487,6.668749,0.658578,20.84589,13.649401,447.623801
69.795048,715,5.952631,0.601158,17.23346,23.608452,441.787893
89.931606,258,7.158012,0.719798,17.864402,19.322131,488.514209
80.465187,1343,6.414326,0.579749,13.447361,20.850344,717.051468
31.727211,858,6.695785,0.659992,16.984715,18.20757,293.421914
75.473383,233,4.28513,0.773127,13.048392,3.550476,245.257383
107.226784,1081,6.795802,0.597741,6.005433,15.091251,422.001236
89.682239,1316,5.709686,0.820855,16.19578,34.15131,551.03339
84.947716,867,7.549945,0.733383,16.283915,33.562884,515.007187
59.431134,1410,5.123917,0.513581,15.694544,27.240861,698.044375
62.611423,837,5.473985,0.656357,12.548508,-0.479493,263.753605
83.663204,1133,8.161257,0.5796,14.249048,42.638829,435.208727
109.756098,1033,4.558675,0.653037,13.144725,37.934392,625.793314
71.520799,258,4.701577,0.661229,18.419744,33.699929,388.333026
143.365611,255,7.092021,0.590606,10.336479,26.216087,321.77116
85.284221,308,6.154955,0.541904,15.134262,26.273181,269.492219
66.123271,1217,4.638702,0.545607,14.798349,17.163848,585.216931
93.919076,416,7.696625,0.761824,11.787528,31.694482,253.406306
58.28042,615,4.155845,0.69632,14.867934,24.089049,410.786367
65.468125,1360,7.421414,0.803762,19.030803,13.789638,770.862595
93.353359,907,6.678719,0.459137,20.186962,28.402634,450.518617
71.127745,866,7.163374,0.671399,8.891283,18.79244,406.907391
117.902518,1178,6.572587,0.681331,12.028524,17.78173,707.641406
58.642725,1045,5.829759,0.64637,16.919963,14.00805,511.771139
73.171135,373,6.519479,0.83486,15.084882,35.658406,455.914052
108.926272,980,6.03266,0.606931,12.844693,7.002644,627.005799
49.188652,1053,5.532285,0.69314,8.144119,29.343976,530.722971
80.677885,385,5.36195,0.477187,14.913632,38.300767,287.091768
78.435122,950,7.7117,0.663575,11.969545,29.626158,503.798883
109.553621,517,4.905722,0.69917,20.445524,15.876915,514.127259
67.926963,897,5.279423,0.673328,16.897326,32.158069,482.581399
103.956047,551,6.426427,0.702964,20.124102,27.545276,356.532129
84.138864,934,5.040263,0.68548,13.746726,20.608362,567.04801
39.894769,323,7.45812,0.493159,9.62731,25.707114,335.840013
56.259728,971,7.166677,0.434587,17.443319,27.875886,399.536828
52.45612,1360,8.493557,0.793633,19.039682,20.705572,657.493277
84.521458,1298,6.152101,0.764913,12.797588,5.103607,758.650223
54.16955,677,6.260082,0.755826,13.094954,20.783559,532.590575
62.480744,305,4.663258,0.585169,22.281484,20.246727,356.19272
51.649067,344,6.571313,0.598693,13.738733,38.522085,358.590407
80.484764,298,5.216677,0.636474,14.749262,34.279704,246.536094
29.341461,1235,7.027724,0.574612,12.696795,32.658194,522.607333
