0,1,2
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
8.5,20.22,9.17
15.93,26.89,17.81
30.82,61.5,36.99
49.75,88.94,61.85
66.3,120.08,86.69
81.84,151.69,111.48
100.72,174.55,141.16
115.51,234.13,177.01
134.09,240.76,204.93
139.78,280.31,227.97
159.4,293.17,261.17
172.29,309.31,288.6
186.95,316.14,314.03
189.96,383.09,355.92
204.06,362.19,365.87
218.45,373.04,396.18
226.53,389.3,420.05
232.43,421.29,452.9
234.22,429.65,463.04
260.89,417.13,497.23
261.94,424.34,504.53
267.96,424.75,516.17
267.28,438.66,527.55
296.29,433.08,569.35
297.72,440.05,577.41
345.34,341.34,562.81
357.12,322.76,564.27
358.05,331.22,572.62
364.22,326.83,577.77
364.83,331.05,581.82
360.47,340.55,583.55
362.02,337.19,583.25
366.49,325.32,579.72
366.74,322.71,578.24
361.26,331.08,577.04
356.42,329.6,569.45
352.88,324.51,560.06
359.08,302.14,551.32
342.43,324.36,545.87
304.87,354.05,515.1
299.8,354.26,507.33
295.62,347.17,495.93
291.73,345.21,488.81
286.22,305.03,451.47
273.5,312.98,438.64
256.36,316.0,415.64
240.17,304.14,385.23
234.27,285.75,365.9
225.5,264.35,341.45
204.01,244.28,302.33
200.56,243.7,296.9
172.69,224.59,251.16
156.41,206.44,223.12
141.35,198.19,200.14
118.5,206.07,172.48
102.75,155.4,138.54
84.33,117.62,108.01
67.73,100.71,85.21
48.36,76.15,58.88
30.97,51.45,36.29
17.14,32.36,19.43
8.97,22.42,9.77
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
5.87,9.83,6.16
15.33,25.78,17.08
27.57,45.28,31.95
48.11,72.06,57.9
66.55,118.54,86.46
81.71,135.23,107.9
102.27,168.27,140.74
116.53,210.44,171.57
138.05,190.84,193.73
151.88,189.65,210.94
168.46,239.04,251.27
174.97,274.57,275.72
190.9,297.99,311.22
210.86,300.43,341.2
218.86,313.77,359.58
229.67,320.37,381.41
240.85,331.71,406.0
255.31,343.14,434.18
259.21,350.04,445.63
290.76,339.28,482.49
290.1,350.61,490.28
295.35,356.87,502.87
299.13,366.63,516.46
334.56,345.59,551.96
343.06,333.44,554.3
347.74,331.53,558.98
347.05,339.69,565.01
351.96,339.19,571.23
355.76,334.47,572.7
337.52,360.42,571.6
337.14,363.44,573.65
336.65,364.15,574.08
338.45,357.97,571.43
341.31,351.66,569.57
339.19,354.66,568.79
339.78,344.49,561.21
336.24,345.9,557.02
333.88,342.83,550.99
328.01,349.99,548.34
300.46,370.06,521.13
300.94,355.24,509.86
296.99,346.56,497.11
291.04,346.07,487.73
271.43,345.13,457.77
256.03,354.88,442.22
252.01,323.54,415.35
242.82,309.99,392.88
236.09,302.32,377.23
217.32,281.49,339.64
194.54,282.77,309.11
186.82,274.57,294.25
165.68,270.04,261.01
150.11,273.94,240.65
138.11,217.75,202.76
118.13,212.08,173.62
104.0,199.01,151.03
85.63,139.02,114.07
67.33,103.66,85.41
52.4,103.87,66.8
33.93,58.69,40.2
20.13,42.16,23.24
8.37,15.36,9.06
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
5.53,8.21,5.81
15.02,23.64,16.57
27.3,47.69,31.88
