,City,Financial Year,Quarter Ending,Quarter,key
0,1,2024,12/31/2023,2,123120231
1,1,2024,09/30/2023,1,93020231
2,1,2023,06/30/2023,4,63020231
3,1,2023,03/31/2023,3,33120231
4,1,2023,12/31/2022,2,123120221
5,1,2023,09/30/2022,1,93020221
6,2,2024,12/31/2023,2,123120232
7,2,2024,09/30/2023,1,93020232
8,2,2023,06/30/2023,4,63020232
9,2,2023,03/31/2023,3,33120232
10,2,2023,12/31/2022,2,123120222
11,2,2023,09/30/2022,1,93020222
12,3,2024,12/31/2023,2,123120233
13,3,2024,09/30/2023,1,93020233
14,3,2023,06/30/2023,4,63020233
15,3,2023,03/31/2023,3,33120233
16,3,2023,12/31/2022,2,123120223
17,3,2023,09/30/2022,1,93020223
18,4,2024,12/31/2023,2,123120234
19,4,2024,09/30/2023,1,93020234
20,4,2023,06/30/2023,4,63020234
21,4,2023,03/31/2023,3,33120234
22,4,2023,12/31/2022,2,123120224
23,4,2023,09/30/2022,1,93020224
24,5,2024,12/31/2023,2,123120235
25,5,2024,09/30/2023,1,93020235
26,5,2023,06/30/2023,4,63020235
27,5,2023,03/31/2023,3,33120235
28,5,2023,12/31/2022,2,123120225
29,5,2023,09/30/2022,1,93020225
30,6,2024,12/31/2023,2,123120236
31,6,2024,09/30/2023,1,93020236
32,6,2023,06/30/2023,4,63020236
33,6,2023,03/31/2023,3,33120236
34,6,2023,12/31/2022,2,123120226
35,6,2023,09/30/2022,1,93020226
36,7,2024,12/31/2023,2,123120237
37,7,2024,09/30/2023,1,93020237
38,7,2023,06/30/2023,4,63020237
39,7,2023,03/31/2023,3,33120237
40,7,2023,12/31/2022,2,123120227
41,7,2023,09/30/2022,1,93020227
42,8,2024,12/31/2023,2,123120238
43,8,2024,09/30/2023,1,93020238
44,8,2023,06/30/2023,4,63020238
45,8,2023,03/31/2023,3,33120238
46,8,2023,12/31/2022,2,123120228
47,8,2023,09/30/2022,1,93020228
48,9,2024,12/31/2023,2,123120239
49,9,2024,09/30/2023,1,93020239
50,9,2023,06/30/2023,4,63020239
51,9,2023,03/31/2023,3,33120239
52,9,2023,12/31/2022,2,123120229
