,Financial Year,Quarter Ending,Quarter,County,City,County_City,key,GDP
0,2012,09/30/2011,1,1,1,1_1,93020111,3449658.32
1,2012,12/31/2011,2,1,1,1_1,123120111,3433050.0
2,2012,03/31/2012,3,1,1,1_1,33120121,3520501.0
3,2012,06/30/2012,4,1,1,1_1,63020121,2268743.0
4,2013,09/30/2012,1,1,1,1_1,93020121,3515263.0
5,2013,12/31/2012,2,1,1,1_1,123120121,3592521.0
6,2013,03/31/2013,3,1,1,1_1,33120131,3159674.0
7,2013,06/30/2013,4,1,1,1_1,63020131,2683992.0
8,2014,09/30/2013,1,1,1,1_1,93020131,3327966.0
9,2014,12/31/2013,2,1,1,1_1,123120131,3269905.0
10,2014,03/31/2014,3,1,1,1_1,33120141,3337837.0
11,2014,06/30/2014,4,1,1,1_1,63020141,2503336.0
12,2015,09/30/2014,1,1,1,1_1,93020141,2798258.0
13,2015,12/31/2014,2,1,1,1_1,123120141,3238519.0
14,2015,03/31/2015,3,1,1,1_1,33120151,2867349.0
15,2015,06/30/2015,4,1,1,1_1,63020151,2597812.0
16,2016,09/30/2015,1,1,1,1_1,93020151,2901973.0
17,2016,12/31/2015,2,1,1,1_1,123120151,2856402.0
18,2016,03/31/2016,3,1,1,1_1,33120161,2905861.0
19,2016,06/30/2016,4,1,1,1_1,63020161,2156014.0
20,2016,09/30/2016,1,1,1,1_1,93020161,2678492.0
21,2016,12/31/2016,2,1,1,1_1,123120161,2909508.0
22,2017,03/31/2017,3,1,1,1_1,33120171,2871846.0
23,2017,06/30/2017,4,1,1,1_1,63020171,2240787.0
24,2018,09/30/2017,1,1,1,1_1,93020171,2655509.0
25,2018,12/31/2017,2,1,1,1_1,123120171,3190046.0
26,2018,03/31/2018,3,1,1,1_1,33120181,3028776.0
27,2018,06/30/2018,4,1,1,1_1,63020181,2330674.0
28,2019,09/30/2018,1,1,1,1_1,93020181,2752022.0
29,2019,12/31/2018,2,1,1,1_1,123120181,3011782.0
30,2019,03/31/2019,3,1,1,1_1,33120191,3242092.0
31,2019,06/30/2019,4,1,1,1_1,63020191,2499379.0
32,2020,09/30/2019,1,1,1,1_1,93020191,2687924.0
33,2020,12/31/2019,2,1,1,1_1,123120191,3131934.0
34,2020,03/31/2020,3,1,1,1_1,33120201,2879175.0
35,2020,06/30/2020,4,1,1,1_1,63020201,2337854.0
36,2021,09/30/2020,1,1,1,1_1,93020201,2719347.0
37,2021,12/31/2020,2,1,1,1_1,123120201,3280846.0
38,2021,03/31/2021,3,1,1,1_1,33120211,2850111.0
39,2021,06/30/2021,4,1,1,1_1,63020211,2161294.0
40,2022,09/30/2021,1,1,1,1_1,93020211,2338443.0
41,2022,12/31/2021,2,1,1,1_1,123120211,3194098.0
42,2022,03/31/2022,3,1,1,1_1,33120221,2768452.0
43,2022,06/30/2022,4,1,1,1_1,63020221,1977793.0
0,2012,09/30/2011,1,1,2,1_2,93020112,320965.0
1,2012,12/31/2011,2,1,2,1_2,123120112,235555.0
2,2012,03/31/2012,3,1,2,1_2,33120122,220036.0
3,2012,06/30/2012,4,1,2,1_2,63020122,103867.0
4,2013,09/30/2012,1,1,2,1_2,93020122,171891.0
5,2013,12/31/2012,2,1,2,1_2,123120122,268675.0
6,2013,03/31/2013,3,1,2,1_2,33120132,214547.0
7,2013,06/30/2013,4,1,2,1_2,63020132,132922.0
8,2014,09/30/2013,1,1,2,1_2,93020132,152560.0
9,2014,12/31/2013,2,1,2,1_2,123120132,261941.0
10,2014,03/31/2014,3,1,2,1_2,33120142,260337.0
11,2014,06/30/2014,4,1,2,1_2,63020142,227976.0
12,2015,09/30/2014,1,1,2,1_2,93020142,253867.0
13,2015,12/31/2014,2,1,2,1_2,123120142,303399.0
14,2015,03/31/2015,3,1,2,1_2,33120152,229300.0
15,2015,06/30/2015,4,1,2,1_2,63020152,233279.0
16,2016,09/30/2015,1,1,2,1_2,93020152,248681.0
17,2016,12/31/2015,2,1,2,1_2,123120152,267994.0
18,2016,03/31/2016,3,1,2,1_2,33120162,300914.0
19,2016,06/30/2016,4,1,2,1_2,63020162,170720.0
20,2016,09/30/2016,1,1,2,1_2,93020162,313648.0
21,2016,12/31/2016,2,1,2,1_2,123120162,218451.0
22,2017,03/31/2017,3,1,2,1_2,33120172,212643.0
23,2017,06/30/2017,4,1,2,1_2,63020172,260854.0
24,2018,09/30/2017,1,1,2,1_2,93020172,204923.0
