YearlyIncome,LoanPurpose,CreditRating,RequestedLoanAmount
189176,Business,480,50028.8401
172768,Business,774,28613.450092
59305,Personal,672,57138.880019
31308,Business,578,4687.380052
52212,Home,400,26460.830079
148842,Business,754,29598.110093
24298,Personal,324,13873.32004
160715,Business,495,17129.960033
103576,Personal,534,17628.680054
118147,Home,317,10603.890009
89059,Business,371,3323.340023
137182,Business,430,19559.65006
86008,Personal,414,55604.340032
120606,Education,442,29278.420014
69653,Personal,412,29593.850082
23689,Home,668,30757.540077
114491,Education,677,32552.110025
88860,Personal,782,48409.040044
156976,Car,523,54999.050035
151407,Car,537,23621.920043
103714,Business,813,10868.170049
135240,Car,735,31021.830078
60328,Personal,436,9065.080099
186497,Personal,669,39338.19002
77785,Business,699,1733.380059
164825,Car,540,8664.400008
144738,Education,402,17956.90009
64969,Home,346,30084.050048
155305,Business,805,34372.240094
198503,Car,394,51350.250011
60933,Car,680,5441.860032
105802,Home,370,13152.930056
57237,Car,434,15382.28006
32048,Car,784,38647.650026
137581,Car,750,45126.830049
85483,Car,754,38511.250051
140212,Home,487,4269.640003
180212,Home,733,7803.35001
53936,Home,503,61678.57002
151670,Car,751,26043.090063
129020,Car,437,43383.420094
77880,Car,594,23046.470077
54250,Home,675,47513.890023
54528,Personal,838,18583.51007
188316,Personal,409,56205.370088
83061,Home,465,62744.230001
144760,Education,320,1648.130028
175641,Car,780,51039.080062
33174,Personal,448,2662.630018
68571,Education,786,17833.290066
168633,Education,763,58140.600037
34910,Home,728,6865.570049
177708,Education,830,13306.390007
115391,Personal,506,60868.680063
141426,Home,826,49436.330077
24473,Car,847,13762.49008
61069,Personal,438,50438.05008
141923,Business,703,46115.760099
156984,Education,322,64385.330041
174633,Home,628,62496.990038
158283,Home,653,13903.160006
62979,Business,692,2082.920039
112687,Personal,720,52786.750003
57825,Home,392,49768.820089
194812,Education,520,31243.480069
121878,Personal,736,4985.760098
124688,Education,798,31776.310071
134531,Car,590,16716.480068
188602,Personal,472,36682.580062
169412,Business,508,41414.090028
57413,Business,362,50987.930057
174307,Education,576,32628.830018
157334,Personal,730,45787.53008
158871,Business,655,45834.420049
37883,Business,696,58596.700059
180073,Car,741,31584.490038
79683,Car,519,15198.990014
165252,Car,442,22424.130072
163467,Education,323,10450.440073
138691,Personal,451,10458.960083
167518,Personal,827,64078.430084
94387,Home,571,13199.820018
191766,Education,598,18165.770067
22638,Home,402,12777.820015
36309,Home,410,15037.010007
104198,Personal,847,43822.470056
94156,Car,546,12206.630009
172117,Business,674,20659.400038
68009,Education,638,57633.350024
138423,Business,763,54176.370029
98920,Business,405,51051.870029
180457,Home,458,29406.300044
90500,Personal,796,60429.630086
155877,Home,475,32381.600088
62607,Business,453,14670.430068
118778,Personal,545,51107.280074
196908,Home,367,27125.790051
165591,Personal,480,63370.830012
156763,Car,327,12428.290011
111358,Home,531,16818.790028
24973,Personal,720,43583.760029
49612,Business,730,12969.640098
70553,Car,338,7206.580057
193756,Personal,526,62484.210054
132513,Car,426,43634.910022
37598,Education,848,10898.010041
94520,Education,379,60186.660065
94147,Home,403,54756.080087
165271,Personal,767,32270.770052
