Land Size (acres),Produced_Quantity(liters/kg),Unit_Cost_Price,Storage_Duration(days),Unit_Selling_Price,Current_Inventory(liters/kg),Reorder_Point(liters/kg)
487.2801654,689.7731123,65.48912169,14.78914267,65.01174918,929.0,44.28355506
233.1339813,420.007154,83.75437074,62.72226534,14.01630484,275.0746716,28.44368242
554.3520442,787.9490686,52.20638711,18.11531954,34.9882765,125.7692596,93.9963712
769.4771483,406.1358768,99.96,39.74617656,19.13615953,508.7130888,56.3655933
644.925639,856.4296246,71.2754258,2.764152732,37.76339721,239.9971677,49.50382367
13.83355764,314.571213,18.40900184,30.93809376,67.09197114,377.4296332,47.06854686
998.99,836.7370758,56.03526495,62.22755523,13.9333216,76.50477551,79.44873812
671.1849334,359.4967373,99.96,51.22147873,42.70900392,213.6729099,57.95292695
638.1949044,306.9122283,15.52348216,73.79241304,71.56084473,232.8024647,41.65761272
795.4900875,467.4746779,63.86060695,84.60441775,14.38969711,706.9342458,76.46328032
517.2509281,340.2803507,85.07671055,48.16624283,25.52570462,690.5723801,64.9436607
522.5105042,799.5197039,20.62013974,24.80035069,100.9720316,180.9404142,40.14093194
431.1598403,228.8291124,28.73927342,47.72158506,21.56377901,46.11788402,71.84641791
256.6276395,650.3849624,71.13757019,52.73220296,20.57865273,361.3587746,88.83886514
10.32,535.8456237,64.13730009,49.23146523,36.23906681,12.7201178,62.9869884
465.3864235,485.2031327,76.17472637,6.966223163,76.31834147,464.1694483,27.24807079
903.7663614,346.2618307,29.9739395,88.41946863,42.6410252,68.5007079,26.32370359
10.32,492.3128492,75.28110101,26.91012555,39.44790891,590.3674997,71.61542343
429.381388,70.60412218,42.34449984,11.22253141,26.19740008,555.8314378,14.45548972
660.9447216,568.2836535,86.59734988,29.98843573,71.42894686,467.6434289,65.49799545
491.9211131,677.3160711,10.05,5.809326275,48.99997374,438.8311422,28.91527781
543.5355166,171.8537279,41.89240216,42.0101992,64.46260544,159.8335044,65.43550431
