worker_age,years_of_experience,daily_work_hours_average,breaks_per_day,tool_usage_rate,num_automated_tasks,ai_planning_support_level,feedback_score_realtime,task_success_rate
49.63616089,11.25630024,6.724535885,4.851525732,6.629441563,10.95416877,0.015313168,99.80790065,66.80960969
28.50040145,4.613159623,7.148283298,3.094496179,2.859168555,6.24653906,-0.054029649,64.37991822,85.50446402
40.92061363,14.4201095,6.096312778,2.920889529,11.23485954,6.240050536,-0.008764276,93.30983683,95.36464074
20.60634824,23.18554608,8.763789594,2.911999239,7.966103707,1.652879565,1.001523584,66.93451251,92.38982238
26.86821916,6.351846464,6.15380856,4.927043971,10.86986605,2.027240097,1.033476044,97.80591294,96.02567697
43.58829649,10.676155,6.262556906,4.992273479,-0.334198717,11.09729064,1.001476868,85.24737385,75.68865555
31.99504173,4.341810141,10.22463523,2.015767385,10.62751043,12.99565331,0.058608384,57.61453559,88.95472835
36.03230561,1.357821808,7.865475693,2.000216322,7.214726535,4.168585911,-0.020464888,72.27655605,70.19316178
53.71909314,26.2501795,8.045237513,5.066505246,6.983719459,9.925740282,0.020347457,70.51516607,95.7026173
34.69166019,3.296630845,7.821444546,3.926126239,2.348913841,6.866096275,0.979234481,55.07475143,87.22967595
48.54091523,0.360459699,7.211264356,0.984683226,18.26877384,-0.092559719,0.987838828,63.6619983,89.19794234
43.29897185,33.3303529,5.676975209,3.880950599,10.53331953,2.063215198,1.038656171,64.83079688,81.80430374
36.37139023,5.655724768,5.747734585,4.004276015,5.942372644,12.89737395,0.004860378,72.24839418,63.08647193
43.18906451,30.15589381,5.330143396,2.87333436,15.06398159,4.973145321,0.975343991,87.9858951,69.43518735
48.68685993,25.51741194,7.586448531,5.062979525,6.130243576,5.592682254,0.032045603,76.66762468,85.36264865
29.47851788,17.31643195,6.392049723,2.12504927,17.96965615,2.799015403,-0.004425388,93.50005315,82.09240502
32.51000502,6.627958874,6.687252683,4.977195072,3.826632618,8.891067197,1.009612814,87.64312272,93.25597347
56.11327669,30.93548751,9.327856479,5.181992843,19.21035942,6.458152209,-0.007387335,86.41448887,81.33666499
36.89134876,13.50579881,8.508107502,2.991324292,-0.26123945,1.888417983,0.995117804,73.92230961,98.95784842
27.96556093,14.24240632,7.144795271,1.038421816,4.237620504,7.297578967,0.021615181,86.39090558,88.94645421
44.70691454,2.674068244,5.426264146,4.898272767,16.18599988,2.199965179,0.016305688,75.65864228,94.00169431
49.34349631,33.87605209,5.72616513,3.170922908,-0.178604466,3.000282301,0.97547146,53.25506541,76.06644732
34.97273689,30.85693777,7.201032846,5.063136946,1.102813828,9.94200332,1.013665466,87.65355881,61.46537562
51.6703074,16.19799714,6.234611392,4.201471471,10.30954683,9.317511082,1.012091231,80.18071287,91.88774455
52.11811725,11.12923433,7.608927426,1.078018674,-0.156153487,7.643653861,1.021773075,93.70365606,100.3023931
51.23267457,12.1221146,6.930409819,4.917758366,16.85430917,6.901923698,-0.050670951,68.36939024,77.57582622
42.02701118,7.147282127,7.073200039,3.043253007,8.078781808,12.91209916,-0.030038209,88.61527004,99.80870039
23.39014718,16.95340109,7.567079971,2.949558268,4.243047383,5.167519666,-0.016677145,91.79457111,86.62612272
42.58220792,23.80966396,8.841804914,4.036790242,5.956362916,0.046921143,0.969996224,77.66692384,68.62016917
37.04839957,11.78952936,8.488047379,4.962053992,-0.021622628,11.47648981,1.007604917,64.71529892,66.24639134
36.41296071,17.47101532,7.943855343,2.779706171,8.336252435,4.079868421,0.998118968,48.79053645,66.82054968
46.91721408,3.927269285,3.93135528,4.938536672,17.12625634,6.944137764,0.067583197,76.03125011,93.77238288
54.71626237,3.912596988,9.113913153,4.049504809,4.015700012,0.168954076,0.010903562,53.05625634,69.68942247
28.16764371,33.60438035,7.016926111,3.07839397,7.175316491,6.867058552,-0.028891407,92.61807541,84.03099322
45.53229448,10.94565221,10.27577455,4.031294181,6.969545942,3.109731653,1.008249025,53.57508835,85.68520113
56.22184089,21.58403234,8.04818265,4.888527105,10.65198968,10.11261933,0.03513467,53.83556555,80.50871962
25.11285478,11.42614727,5.172299039,1.057875524,8.561665973,1.166449041,-0.006088075,70.34541447,78.67095505
39.32923074,23.25293449,8.695208295,1.008340344,17.3455316,10.69182319,0.013404678,66.10285538,60.42017558
34.42063529,19.40748859,6.283682806,2.086063117,13.56831109,1.015631269,1.009362764,80.05319726,70.81307497
41.41741714,7.353524095,7.826043051,1.883346739,17.98166448,5.9453418,-0.033571976,84.4224783,70.25858208
55.2087328,23.96874019,8.028904741,1.995314572,4.891227717,9.800146558,-0.041740709,64.2476396,89.99158281
47.52362499,6.129126235,7.303244427,1.866056123,8.807476447,11.85324491,-0.009129007,63.42282713,76.70872338
32.57538308,33.14983218,7.005433835,2.073965684,16.25260312,10.33220822,0.942133392,77.99993692,80.74545919
30.6113663,19.54063581,8.774875201,3.0088061,2.364537865,6.152159148,-0.001231539,94.68093911,72.85716497
24.47793513,30.29013177,6.440097745,4.947875458,8.474625566,0.090129178,0.986990634,64.87839077,91.11631414
36.96419889,29.35241163,6.15548918,5.024251508,3.601148917,10.66009143,1.015431934,59.72826746,86.42283788
43.54391772,28.29131991,5.788742767,1.006408875,1.17688073,1.663407558,1.04108908,53.38252094,85.4534287
53.3891766,13.95582932,6.725910172,1.997692763,6.220835328,5.029454826,-0.007942579,85.51244742,76.61595611
41.44373902,24.48164226,8.879141248,3.991082849,5.377698606,-0.056704381,1.005032863,78.17652173,67.82923353
37.66886828,27.88883912,5.849811513,2.914073091,3.132381674,-0.088180639,0.004470282,75.52821462,76.69079322
43.01912921,26.90212632,9.548734715,2.985562794,2.952389556,14.42550221,-0.003159626,82.82292772,94.17733658
24.88809275,20.93272825,8.806093531,0.984592008,13.07978076,4.819082664,1.006847067,81.72106638,63.72881085
26.15435452,3.719997088,8.407319885,1.113081223,4.191501473,6.112352838,0.001052048,71.78393479,60.98944338
39.38144863,18.91473688,9.354122417,0.969143687,11.39446643,-0.077399927,-0.017719359,64.206687,62.74964319
27.19715334,28.18835221,9.47122155,5.06054052,6.006799324,3.149803331,1.02705102,74.26427969,73.10980949
51.49957986,15.93775131,7.191144128,4.00512175,7.0307328,8.91310655,1.011635548,64.54468179,64.53852025
52.82399247,-0.168993708,7.210315036,2.025921122,14.10834298,13.11055593,-0.003960948,82.03569478,61.82247351
55.62156784,8.8106641,10.47021653,3.028304012,15.97795216,12.02261639,-0.00899383,58.03468474,84.37418334
33.89521211,26.54344131,6.374730684,4.918741375,4.730350354,4.337260239,-0.010665847,79.27899005,63.13353971
38.22821581,15.55198253,9.457152348,5.080931779,17.9113404,0.186797347,0.949405459,57.04450702,63.99846752
22.95792031,5.21327303,8.236222894,3.885751446,18.09255685,0.901733606,0.952635543,58.06865628,90.88556359
44.85126107,31.24653808,4.767696508,2.051839112,3.496391831,2.226244271,-0.027930312,81.17516162,84.83984782
31.54068741,11.13697475,7.207540394,2.990281391,12.23179303,5.9308649,1.022390136,54.77593199,79.8322967
28.97471239,25.35636184,6.248474418,1.973359645,7.730861029,9.043763694,-0.045446569,85.04521685,90.50591579
24.78437701,17.47758118,7.212142414,5.005761225,7.187653605,13.08133067,-0.055148261,82.18564514,75.21193328
26.91669981,1.448246422,6.609589829,4.989615414,16.03046387,3.147726773,0.011422118,68.06518399,92.01594272
58.07509737,10.22727265,7.708492367,5.038391699,14.06905195,7.154231695,0.007516766,64.8162599,94.4675171
37.87117127,10.43817507,5.917536692,1.999699225,12.31535881,13.1148531,0.002678973,54.56792199,99.10441577
59.24343204,22.65820662,8.657897287,4.035080034,8.468368895,2.032911919,0.003089548,61.27091236,99.99124365
44.48599666,20.10750386,7.412349395,1.914193313,17.48257049,12.34241179,1.009226307,80.32120424,97.31779318
52.08602306,33.98740837,9.286262169,1.056695928,17.34278826,6.551309454,0.957896695,52.96919135,68.76949965
51.58189861,15.34880431,6.098267899,3.97908854,9.78171466,8.968699191,0.955816134,79.43013669,91.91256522
24.10847967,13.1633296,6.766751107,1.002986153,1.522828623,8.73773732,0.004390817,76.2854384,84.42863797
32.40270243,10.37603107,5.571181801,3.999265321,19.44076901,4.040984039,0.034980843,50.60362836,92.10529093
24.97996361,14.18723364,7.919010035,3.147982377,10.64914834,13.06319714,0.975620782,85.18996512,88.40915926
30.20443397,33.99729302,8.256451223,2.984665266,5.362534898,12.12859184,0.977505454,85.01724199,64.58815655
39.78760036,3.907545181,8.780517849,3.914377584,4.663115501,11.77827076,0.96753849,57.24966607,77.59296492
25.11223422,34.40257937,7.591904456,3.933095648,4.256620042,2.909569195,0.002059126,63.22683031,91.34839156
27.9005305,4.508110118,7.135082947,3.020857082,2.983504105,5.880578022,-0.032122573,65.76971924,85.34981298
42.77833556,26.76615137,7.358262543,3.049592141,19.02973812,9.899690172,1.003345952,58.95420297,78.48247582
